test_size,kernel,classifier,components,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.6,rbf,RF,15,4134,6202,0.9611,0.7429,0.7,1.0
0.6,rbf,NB,15,4134,6202,0.756,0.4186,0.0,1.0
0.6,rbf,KNN,15,4134,6202,0.9486,0.6702,0.0,1.0
0.6,rbf,SVM,15,4134,6202,0.9112,0.2244,0.5,1.0
0.6,sigmoid,LR,15,4134,6202,0.8957,0.1981,0.1,0.7
0.6,sigmoid,SGD,15,4134,6202,0.8842,0.1846,0.1,0.7
0.6,sigmoid,DT,15,4134,6202,0.9532,0.704,0.2,0.7
0.6,sigmoid,RF,15,4134,6202,0.9726,0.7798,0.7,0.7
0.6,sigmoid,NB,15,4134,6202,0.8813,0.5593,0.0,0.7
0.6,sigmoid,KNN,15,4134,6202,0.9592,0.7433,0.1,0.7
0.6,sigmoid,SVM,15,4134,6202,0.9331,0.5054,0.5,0.7
0.6,cosine,LR,15,4134,6202,0.9068,0.2175,0.1,0.6
0.6,cosine,SGD,15,4134,6202,0.8971,0.2433,0.1,0.6
0.6,cosine,DT,15,4134,6202,0.9587,0.7657,0.1,0.6
0.6,cosine,RF,15,4134,6202,0.9682,0.7768,0.8,0.6
0.6,cosine,NB,15,4134,6202,0.8618,0.5593,0.0,0.6
0.6,cosine,KNN,15,4134,6202,0.9555,0.699,0.0,0.6
0.6,cosine,SVM,15,4134,6202,0.9252,0.2977,0.5,0.6
