test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.4,cosine,-,,NB,5,1,6201,4135,0.8312,0.4195,0.0,0.8
0.4,cosine,-,,KNN,5,1,6201,4135,0.9545,0.6791,0.0,0.8
0.4,cosine,-,,SVM,5,1,6201,4135,0.9224,0.2366,0.5,0.8
0.4,linear,-,,LR,10,1,6201,4135,0.9054,0.3874,0.4,0.9
0.4,linear,-,,SGD,10,1,6201,4135,0.896,0.3453,0.3,0.9
0.4,linear,-,,DT,10,1,6201,4135,0.9705,0.7695,0.1,0.9
0.4,linear,-,,RF,10,1,6201,4135,0.979,0.7982,1.0,0.9
0.4,linear,-,,NB,10,1,6201,4135,0.6757,0.3931,0.0,0.9
0.4,linear,-,,KNN,10,1,6201,4135,0.9659,0.7245,0.0,0.9
0.4,linear,-,,SVM,10,1,6201,4135,0.9132,0.3888,0.8,0.9
0.4,poly,default,0.014492753623188406,LR,10,1,6201,4135,0.8082,0.1485,0.9,1.0
0.4,poly,default,0.014492753623188406,SGD,10,1,6201,4135,0.8092,0.1485,1.6,1.0
0.4,poly,default,0.014492753623188406,DT,10,1,6201,4135,0.9492,0.7171,0.1,1.0
0.4,poly,default,0.014492753623188406,RF,10,1,6201,4135,0.9531,0.6847,0.8,1.0
0.4,poly,default,0.014492753623188406,NB,10,1,6201,4135,0.1086,0.1912,0.0,1.0
0.4,poly,default,0.014492753623188406,KNN,10,1,6201,4135,0.9395,0.6634,0.1,1.0
0.4,poly,default,0.014492753623188406,SVM,10,1,6201,4135,0.8087,0.1346,1.0,1.0
0.4,rbf,default,0.014492753623188406,LR,10,1,6201,4135,0.8803,0.1582,0.1,1.6
0.4,rbf,default,0.014492753623188406,SGD,10,1,6201,4135,0.8808,0.1583,0.1,1.6
0.4,rbf,default,0.014492753623188406,DT,10,1,6201,4135,0.956,0.6948,0.1,1.6
0.4,rbf,default,0.014492753623188406,RF,10,1,6201,4135,0.9647,0.7435,0.9,1.6
0.4,rbf,default,0.014492753623188406,NB,10,1,6201,4135,0.7507,0.3511,0.0,1.6
0.4,rbf,default,0.014492753623188406,KNN,10,1,6201,4135,0.9521,0.665,0.0,1.6
0.4,rbf,default,0.014492753623188406,SVM,10,1,6201,4135,0.9122,0.2236,0.6,1.6
0.4,sigmoid,default,0.014492753623188406,LR,10,1,6201,4135,0.8924,0.1962,0.1,1.1
0.4,sigmoid,default,0.014492753623188406,SGD,10,1,6201,4135,0.8827,0.1662,0.1,1.1
0.4,sigmoid,default,0.014492753623188406,DT,10,1,6201,4135,0.9637,0.7337,0.1,1.1
0.4,sigmoid,default,0.014492753623188406,RF,10,1,6201,4135,0.978,0.8078,0.9,1.1
0.4,sigmoid,default,0.014492753623188406,NB,10,1,6201,4135,0.8723,0.4871,0.0,1.1
0.4,sigmoid,default,0.014492753623188406,KNN,10,1,6201,4135,0.9615,0.722,0.0,1.1
0.4,sigmoid,default,0.014492753623188406,SVM,10,1,6201,4135,0.9359,0.5081,0.6,1.1
