test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.4,rbf,0.005,0.005,SVM,10,0,6201,4135,0.9183,0.312,0.6,1.7
0.4,rbf,default,0.014492753623188406,LR,10,0,6201,4135,0.8909,0.1919,0.1,1.7
0.4,rbf,default,0.014492753623188406,SGD,10,0,6201,4135,0.8808,0.1585,0.1,1.7
0.4,rbf,default,0.014492753623188406,DT,10,0,6201,4135,0.9533,0.7205,0.1,1.7
0.4,rbf,default,0.014492753623188406,RF,10,0,6201,4135,0.9632,0.7577,1.7,1.7
0.4,rbf,default,0.014492753623188406,NB,10,0,6201,4135,0.7898,0.3749,0.0,1.7
0.4,rbf,default,0.014492753623188406,KNN,10,0,6201,4135,0.9511,0.7019,0.0,1.7
0.4,rbf,default,0.014492753623188406,SVM,10,0,6201,4135,0.9112,0.2169,0.7,1.7
0.4,rbf,0.05,0.05,LR,10,0,6201,4135,0.8675,0.1774,0.1,1.7
0.4,rbf,0.05,0.05,SGD,10,0,6201,4135,0.8701,0.1846,0.1,1.7
0.4,rbf,0.05,0.05,DT,10,0,6201,4135,0.9514,0.685,0.1,1.7
0.4,rbf,0.05,0.05,RF,10,0,6201,4135,0.9623,0.7166,1.5,1.7
0.4,rbf,0.05,0.05,NB,10,0,6201,4135,0.6849,0.31,0.0,1.7
0.4,rbf,0.05,0.05,KNN,10,0,6201,4135,0.9461,0.6597,0.0,1.7
0.4,rbf,0.05,0.05,SVM,10,0,6201,4135,0.8979,0.2645,0.6,1.7
0.4,rbf,0.1,0.1,LR,10,0,6201,4135,0.852,0.1477,0.1,1.7
0.4,rbf,0.1,0.1,SGD,10,0,6201,4135,0.8588,0.1562,0.1,1.7
0.4,rbf,0.1,0.1,DT,10,0,6201,4135,0.9417,0.6435,0.1,1.7
0.4,rbf,0.1,0.1,RF,10,0,6201,4135,0.9519,0.6517,1.4,1.7
0.4,rbf,0.1,0.1,NB,10,0,6201,4135,0.5879,0.3272,0.0,1.7
0.4,rbf,0.1,0.1,KNN,10,0,6201,4135,0.9371,0.5961,0.0,1.7
0.4,rbf,0.1,0.1,SVM,10,0,6201,4135,0.8646,0.245,0.8,1.7
0.4,poly,0.001,0.001,LR,10,0,6201,4135,0.8808,0.2603,0.1,1.1
0.4,poly,0.001,0.001,SGD,10,0,6201,4135,0.88,0.1878,0.1,1.1
0.4,poly,0.001,0.001,DT,10,0,6201,4135,0.9642,0.7346,0.1,1.1
0.4,poly,0.001,0.001,RF,10,0,6201,4135,0.977,0.7973,1.3,1.1
0.4,poly,0.001,0.001,NB,10,0,6201,4135,0.1775,0.2946,0.0,1.1
0.4,poly,0.001,0.001,KNN,10,0,6201,4135,0.9482,0.6729,0.0,1.1
0.4,poly,0.001,0.001,SVM,10,0,6201,4135,0.8791,0.2095,0.8,1.1
0.4,poly,0.005,0.005,LR,10,0,6201,4135,0.8699,0.2472,0.2,1.1
0.4,poly,0.005,0.005,SGD,10,0,6201,4135,0.8711,0.2342,0.5,1.1
0.4,poly,0.005,0.005,DT,10,0,6201,4135,0.9613,0.723,0.1,1.1
0.4,poly,0.005,0.005,RF,10,0,6201,4135,0.9739,0.7777,1.4,1.1
0.4,poly,0.005,0.005,NB,10,0,6201,4135,0.1289,0.2717,0.0,1.1
0.4,poly,0.005,0.005,KNN,10,0,6201,4135,0.9456,0.6831,0.0,1.1
0.4,poly,0.005,0.005,SVM,10,0,6201,4135,0.8513,0.1675,0.9,1.1
0.4,poly,default,0.014492753623188406,LR,10,0,6201,4135,0.8099,0.1497,1.4,1.0
0.4,poly,default,0.014492753623188406,SGD,10,0,6201,4135,0.7923,0.158,1.6,1.0
0.4,poly,default,0.014492753623188406,DT,10,0,6201,4135,0.9449,0.6768,0.1,1.0
0.4,poly,default,0.014492753623188406,RF,10,0,6201,4135,0.9632,0.7667,1.3,1.0
0.4,poly,default,0.014492753623188406,NB,10,0,6201,4135,0.1037,0.2433,0.0,1.0
0.4,poly,default,0.014492753623188406,KNN,10,0,6201,4135,0.942,0.6261,0.0,1.0
0.4,poly,default,0.014492753623188406,SVM,10,0,6201,4135,0.808,0.1167,0.9,1.0
0.4,poly,0.05,0.05,LR,10,0,6201,4135,0.8329,0.1941,3.8,1.0
0.4,poly,0.05,0.05,SGD,10,0,6201,4135,0.0104,0.0295,1.2,1.0
0.4,poly,0.05,0.05,DT,10,0,6201,4135,0.8938,0.534,0.1,1.0
0.4,poly,0.05,0.05,RF,10,0,6201,4135,0.9079,0.4951,1.2,1.0
0.4,poly,0.05,0.05,NB,10,0,6201,4135,0.0948,0.2395,0.0,1.0
0.4,poly,0.05,0.05,KNN,10,0,6201,4135,0.9301,0.596,0.0,1.0
0.4,poly,0.05,0.05,SVM,10,0,6201,4135,0.8087,0.139,0.9,1.0
0.4,poly,0.1,0.1,LR,10,0,6201,4135,0.8351,0.2924,1.7,1.0
0.4,poly,0.1,0.1,SGD,10,0,6201,4135,0.0056,0.082,0.4,1.0
0.4,poly,0.1,0.1,DT,10,0,6201,4135,0.9071,0.5512,0.1,1.0
0.4,poly,0.1,0.1,RF,10,0,6201,4135,0.9335,0.5206,1.3,1.0
0.4,poly,0.1,0.1,NB,10,0,6201,4135,0.0933,0.2406,0.0,1.0
0.4,poly,0.1,0.1,KNN,10,0,6201,4135,0.9345,0.6059,0.1,1.0
0.4,poly,0.1,0.1,SVM,10,0,6201,4135,0.8087,0.139,0.9,1.0
0.4,sigmoid,0.001,0.001,LR,10,0,6201,4135,0.8709,0.1415,0.1,1.0
0.4,sigmoid,0.001,0.001,SGD,10,0,6201,4135,0.875,0.1486,0.1,1.0
0.4,sigmoid,0.001,0.001,DT,10,0,6201,4135,0.9635,0.7796,0.1,1.0
0.4,sigmoid,0.001,0.001,RF,10,0,6201,4135,0.9741,0.8031,1.3,1.0
0.4,sigmoid,0.001,0.001,NB,10,0,6201,4135,0.799,0.4858,0.0,1.0
